Sponsor,Category,URL,Docs,Offering,Discord,Prize
Render,backend,trender.onrender.com ,https://render.com/docs,"Successfully redeemed code HTHON-652AF3. 
  
 Req: 2+ Render services! (
• Web Service (BE + FE) & Postgres
• Web Service (BE) & Static Site (FE)
• Web Service & Key Value
• Web Service & Private Service
• Web Service & Cron Job
• Web Service & Background Worker 
 
https://assign-credits.onrender.com/?event=autonomous-hack
Get $50 in Render credits!",https://discord.com/channels/1463998157779112219/1477013597862498508,"Best Use of Render
3 winners
1st: $1000 render credits for the team
2nd: $600 Render credits for the team
3rd: $400 Render credits for the team"
Tavily,web access layer for agents,tavily.com,https://github.com/tavily-ai/tavily-cookbook/blob/main/cookbooks/getting-started/web-agent-tutorial.ipynb,https://app.tavily.com/playground,https://discord.com/channels/1458778000811233436/1458778002015129776,"Best use of Tavily Search
3 winners
1st place: 10,000 credits
2nd place: 5,000 credits
3rd place: 3,000 credits"
Yutori,n1 navigator,https://platform.yutori.com,https://docs.yutori.com/,"https://platform.yutori.com/hackathon 
 
 agentshack2026",https://discord.com/channels/1278435478609072198/1476233626881360046,"Best Yutori API Project
$2,500 in cash
1 winner
1st place - $1500 visa gift card, $1000 API credits - lunch at Yutori
2nd place - $1000 gift card, $500 API credits"
Neo4j,open source graph databse,https://neo4j.com/,https://neo4j.com/docs/,https://docs.google.com/document/d/1C1ZJP6bTNuXUlwn6bffTbHJo2-PL_ycvW6wZM_bj7og/edit?tab=t.0#heading=h.jk096ey0jdlp,https://discord.com/channels/1278435478609072198/1476233542039109796,"Best Use of Neo4j
3 winners
(Per team member)
1st place: credits
2nd place: Bose QuietComfort Ultra Earbuds (2nd Gen)
3rd place: JBL Flip 7 Portable Bluetooth Speaker"
Modulate,voice,https://www.modulate.ai,https://modulate-developer-apis.com/,https://modulate-developer-apis.com/web/invite.html?token=fd5329a4-b3a4-4c46-af5a-96d4c993f25c,https://discord.com/channels/1278435478609072198/1476233516999246016,"Best use of Modulate's APIs
$1,750 in cash
3 winners
$1k for first place
$500 for second place
$250 for third place"
Senso,Context OS,https://www.senso.ai/,docs.senso.ai,$100 in credits,https://discord.com/channels/1278435478609072198/1476233448053280940,"Best Use of Senso.ai
1 winner
1st: 3k in credits
2nd: 2k in credits
3rd: 1k in credits"
Airbyte,"You build the agent.
We’ll bring the tools.",Airbyte.com/ai,https://docs.airbyte.com/,https://github.com/airbytehq/airbyte-agent-connectors,https://discord.com/channels/1278435478609072198/1476233478235230221,"Best Use of Airbyte
1 winner
$1000 credits for first place
$500 credits for second place"
Fastino Labs,models (not memory),"https://fastino.ai
pioneer.ai",https://pioneer.ai/docs,https://www.notion.so/SF-Agents-Hackathon-Dev-Guide-3118413d474480cfb6f1c67dc77eb7d9,https://discord.com/channels/1364246538603335762/1476651430139003081,"Best use of Fastino
$1,750 in cash
3 winners
1st place: $1,000 gift card
2nd place: $500 gift card
3rd place: $250 gift card
Winners determined by
- Best and creative usage of the Pioneer fine-tuning tool based on key use cases
- Best and creative usage of GLiNER extraction tasks
- F1 score"
Reka,video and image search and understanding models,https://reka.ai/,https://docs.reka.ai/vision/overview#key-features,120 minutes video for free,https://discord.com/channels/1278435478609072198/1476770682737135801,"Most Innovative Use of Reka's Vision API
$1,750 in cash
3 winners
1st Place: $1000 + job interview
2nd Place: $500 + job interview
3rd Place: $250 + job interview"
Numeric,accounting,https://www.numeric.io/,https://numeric.substack.com,,https://discord.com/channels/1278435478609072198/1476233563572801597,-
AWS, (Amazon Web Services),https://aws.amazon.com/,https://docs.aws.amazon.com/,-,-,-
OpenAI,AI,https://openai.com/,https://developers.openai.com/api/docs/,-,-,-
